gene_short_name	status	p_value	morans_test_statistic	morans_I	q_value
Itm2b	FAIL	NA	NA	NA	1
B3gnt5	OK	2.94410342788227e-117	22.9898576206539	0.284057889908097	3.14037698974109e-116
Sec61g	FAIL	NA	NA	NA	1
Ly86	OK	5.24778949751626e-75	18.2870432522638	0.222241239404118	3.00504998594615e-74
Wnt6	OK	9.84075651924521e-22	9.50669557837278	0.114735901888953	1.87180823303126e-21
Adamtsl2	FAIL	NA	NA	NA	1
Prlr	FAIL	NA	NA	NA	1
Prdx5	FAIL	NA	NA	NA	1
Nfkbiz	FAIL	NA	NA	NA	1
Kcnk1	FAIL	NA	NA	NA	1
St3gal5	FAIL	NA	NA	NA	1
Ell2	FAIL	NA	NA	NA	1
Creld2	FAIL	NA	NA	NA	1
S100a1	FAIL	NA	NA	NA	1
Lsr	FAIL	NA	NA	NA	1
Gng10	FAIL	NA	NA	NA	1
Fam43a	FAIL	NA	NA	NA	1
Scin	FAIL	NA	NA	NA	1
Mgst3	FAIL	NA	NA	NA	1
Dtl	FAIL	NA	NA	NA	1
AABR07044570.2	FAIL	NA	NA	NA	1
Olah	FAIL	NA	NA	NA	1
Cd99	FAIL	NA	NA	NA	1
Acsl1	FAIL	NA	NA	NA	1
Psen2	FAIL	NA	NA	NA	1
Hey2	FAIL	NA	NA	NA	1
Pde3a	FAIL	NA	NA	NA	1
AABR07012131.1	OK	2.37329600406816e-119	23.19821040715	0.270117099143801	2.63484291063893e-118
Nusap1	OK	4.73140161224832e-25	10.2715940014169	0.121101412033694	9.56833634595943e-25
Plcxd3	FAIL	NA	NA	NA	1
Trib3	FAIL	NA	NA	NA	1
AABR07017846.1	OK	5.936082698709e-70	17.6412889902544	0.211777163628864	2.96259540192449e-69
Thy1	OK	1.63825758982336e-15	7.87989682365937	0.0962507327712266	2.69248377300274e-15
Tbata	FAIL	NA	NA	NA	1
Cryba4	FAIL	NA	NA	NA	1
Olr292	FAIL	NA	NA	NA	1
Itgb1	FAIL	NA	NA	NA	1
Pik3ap1	FAIL	NA	NA	NA	1
Bub1	FAIL	NA	NA	NA	1
Cap2	FAIL	NA	NA	NA	1
Dst	FAIL	NA	NA	NA	1
Myrip	FAIL	NA	NA	NA	1
Ncapg	FAIL	NA	NA	NA	1
Klhl26	FAIL	NA	NA	NA	1
Rnd1	FAIL	NA	NA	NA	1
Slco2b1	FAIL	NA	NA	NA	1
Cd247	OK	7.18507622057788e-99	21.0720096043892	0.259350350847663	5.83385293133488e-98
Crip2	FAIL	NA	NA	NA	1
Zfp536	FAIL	NA	NA	NA	1
Gnat2	FAIL	NA	NA	NA	1
Cxcr4	OK	1.27883092301848e-20	9.23604950745966	0.113808601621141	2.35825092244765e-20
Cdk1	FAIL	NA	NA	NA	1
Ms4a6a	OK	5.23430468234581e-24	10.0371199399028	0.111434707673928	1.03544063534404e-23
Rgs2	FAIL	NA	NA	NA	1
